Date	Type	ID	Title	Location1	Location2	Description	Area	Bedrooms	Legal	WC	House orientation	Furniture	Price
11/10/2024	Tin Thường	121355	nhà mặt tiền cho thuê nguyên căn	Quận 10 , Hồ Chí Minh	LÊ HỒNG PHONG	"nhà mặt tiền cho thuê nguyễn căn, vỉa hè rộng, đối diện VIỆT NAM QUỐC TỰ
Khu kinh doanh sầm uất, đa ngành nghề
LIÊN HỆ : A HOAN 0.9.1.3.1.6.7.8.0.5."	80	19	Mức giá	19	nan	nội thất đầy đủ	100 triệu/tháng
11/10/2024	Tin Thường	121350	BÁN NHÀ RIÊNG QUẬN 10 – 38M2 – 4 TẦNG HCĐ – HẺM 3M – CHỈ 4.X TỶ	Quận 10 , Hồ Chí Minh	Phường 14, Quận 10, Hồ Chí Minh	"• Diện tích: 38m2, 4 tầng kiên cố (BTCT) Hoàn công đủ 3 PN
• Hẻm 3m, cách 20m ra hẻm xe tải.
• Pháp lý rõ ràng, công chứng trong ngày.
• Giá: 4.45 tỷ thương lượng khách thiện chí.
• L/H: #Thịnh_0986.099.894 xem nhà"	38	2	Sổ đỏ/ Sổ hồng	2	nan	Nội thất cơ bản	4 tỷ 450 triệu
11/10/2024	Tin Thường	121346	CĂN HỘ DỊCH VỤ GIÁ RẺ TRUNG TÂM PHƯỜNG BÌNH TRƯNG TÂY, TP.THỦ ĐỨC	Quận 2 , Hồ Chí Minh	25/19 Đường 38 phường Bình trưng tây, thành phố thủ đức	"Diện tích: 35- 40m2; Giá thuê: 4,5tr-5tr/tháng (tương ứng diện tích và tiện ích phòng, mỗi phòng tối đa 4 -5 người).
+ Đặt cọc 1 tháng + trả trước 1 tháng
+ Điện chính có đồng hồ riêng từng phòng, nước 100k/người, phí dịch vụ chỉ tính người lớn 200.000k/người (giặt đồ, vệ sinh, rác, an ninh, camera, giữ xe…)
+ Phòng trống không nội thất, có wc riêng từng phòng, có ban công riêng, hẻm xe hơi, nằm trong khu dân cư văn minh, yên tĩnh
+ Phòng thoáng mát, sạch sẽ, FREE WIFE, tầng hầm gửi xe rộng rãi có camera quan sát.
+ Khu trung tâm tiện ích đầy đủ: gần siêu thị,chợ truyền thống, bệnh viện, trường học. Xung quanh có tổ hợp ăn uống, gym, quán cafe, tiện ích nhu yếu phẩm,…Giao thông di chuyển thuận tiện cách Cầu Giồng ông Tố 500m.
+ Giờ giấc tự do, không chung chủ, ra vào khóa vân tay, an ninh tốt thích hợp cho sinh viên, nhân viên văn phòng, gia đình nhỏ thuê ở .
Địa chỉ: 25/19, Đường 38, Phường Bình Trưng Tây, TP.Thủ Đức, HCM (đối diện trung tâm y tế quận 2 – ngay cây xăng Nguyễn Duy Trinh (chợ Giồng Ông Tố)
Liên hệ chính chủ ĐT/ZALO: 0978473249 (phương)"	35	nan	Mức giá	nan	nan	nan	4 triệu 500 nghìn/tháng
09/10/2024	Tin Thường	121314	GẤP BÁN NHÀ NGUYỄN NGỌC LỘC - QUẬN 10 - 4 Tầng – 38m2– HẺM 3M - CHỈ 4.X TỶ	Quận 10 , Hồ Chí Minh	Nguyễn Ngọc Lộc Quận 10	"- Mô tả:
• Diện tích: Gần 40m2, 4 tầng kiên cố (BTCT) – 4 phòng ngủ ấm cúng.
• Vị trí: Trung tâm Quận 10, gần Đại học Hoa Sen và sân vận động Phú Thọ.
- Tiện ích xung quanh:
• Hẻm trước nhà rộng 3m, yên tĩnh và an ninh.
• Gần các trường học, bệnh viện, hồ bơi, siêu thị….
-Pháp lý và giá bán:
• Hoàn công đầy đủ, pháp lý rõ ràng – ngân hàng hỗ trợ vay hơn 4 tỷ.
• Giá bán: 4.65 tỷ đồng (có thương lượng cho khách thiện chí).
• 📞 Liên hệ ngay để xem nhà: #Thịnh_0845.999.975"	38	2	Sổ đỏ/ Sổ hồng	2	nan	Nội thất cơ bản	4 tỷ 450 triệu
09/10/2024	Tin Thường	121323	☘️☘️☘️Chủ Cần Tiền Bán Gấp căn NHÀ ĐẸP đường số 21 P8 Q.Gò Vấp- Giá 8,29tỷ thượng lượng	Gò Vấp , Hồ Chí Minh	Đương số 21	"▪️ Hướng : Đông Nam ,
▪️ Kết cấu : 1 trệt 3 lầu sân thượng gồm 1 sân vườn rộng gara xe hơi phòng khách bếp 3 pn trong đó 1 pn master 5 tolet phòng thờ sân thượng trước sau,
▪️ Đường : 5m xe hơi vào nhà nhà đậu được 2 chiếc,
▪️ Diện tích : Ngang 4.5m dài 13m,
▪️ Pháp lý : Sổ hồng riêng,
▪️ Nội thất bàn giao : Full option ,
,
🌹 Vị trí: Gần Ngã 3 Tân Sơn va Quang Trung ,
,,,
🌹Pháp Lý: sổ hồng riêng, công chứng ngay.,"	50	4	Sổ đỏ/ Sổ hồng	3	nan	nan	7 tỷ 900 triệu
08/10/2024	Tin Thường	121276	NHÀ NHỎ QUẬN 3 – 23M2 – HOÀNG SA – 2 TẦNG – SÁT MẶT TIỀN – 2.X TỶ	Quận 3 , Hồ Chí Minh	Hoàng Sa, Quận 3	"- Nhà 1 trệt, 1 lầu. Cách 3 căn ra mặt tiền Hoàng Sa.
- Đang có dòng tiền cho thuê 7tr/tháng.
- Sổ rõ ràng, HCĐ.
- Chỉ 2.75 t.ỷ TL người thiện chí.
- L/H: #Thịnh_0986099894 xem nhà."	23	2	Sổ đỏ/ Sổ hồng	2	nan	nan	2 tỷ 750 triệu
21/07/2024	Tin Thường	115811	#bán_gấp Bán căn Shophouse mặt tiền đường Quách Điêu nối dài	Bình Chánh , Hồ Chí Minh	Bình chánh HCM	"Diện tích: 125m2
Kết cấu: 1 trệt 3 lầu, gác lứng, 6PN, 3WC.
Vị trí cực nét: Ngay mặt tiền đường Quách Điêu nối dài.
Tiện ích bao quanh không thiếu một thứ gì: #chợ, trường học, bệnh viện, ngân hàng....
Hệ thống giao thông: thuận tiện đi về các hướng trong thành phố, và các khu vực lân cận.
Sổ hồng công chứng sang tên trong vòng 1nốt nhạc.
Khách hàng tài chính không đủ bank hổ trợ.
Liên hệ ngay: 0935218356 - 0931828081 xem nhà và làm việc trực tiếp.
#letrangland #nhaphobinhchanh #nhaphogiare #Chinhchucanban"	75	6	Sổ đỏ/ Sổ hồng	4	nan	nan	7 tỷ
21/07/2024	Mã tin	115813	BÁN NHÀ SIÊU ĐẸP TẠI QUẬN 7 . 52M2 ,GIÁ NHỈNH 5 TỶ	Quận 7 , Hồ Chí Minh	NGUYỄN THỊ THẬP , QUẬN 7	"BÁN NHÀ SIÊU ĐẸP TẠI QUẬN 7 . 52M2 ,GIÁ NHỈNH 5 TỶ
📍Vị trí đẹp ,ngây trung tâm, 2 phút đến Phú Mỹ Hưng.5 phút qua quận 1, quận 5 , quận 8
💢 Nhà mới full nội thất cực đẹp. Sách vali vào ở luôn.
💢 Kết cấu 2 tầng ,2 phòng ngủ ,3 wc.
🚘 Xe hơi đậu cách nhà vài căn, sân rộng đậu được nhiều xe máy.
📕 Sổ vuông A4 hoàn công
☎️Liên hệ Hằng xem nhà , miễn trung gian..."	52	2	Sổ đỏ/ Sổ hồng	3	nan	nan	5 tỷ 380 triệu
21/07/2024	Tin Thường	115814	Cho thuê NNC Điện Biên Phủ Bình Thạnh ngang 8,5m. Giá 20tr	Bình Thạnh , Hồ Chí Minh	Đường Điện Biên Phủ, 21	"Cho thuê NNC Điện Biên Phủ, Phường 21, Quận Bình Thạnh
- Diện tích: 8.5 x 6m
- Kết cấu: 1 Trệt 2 Lầu Đúc, 2 sân thượng, 3 Phòng ngủ lớn.
- Đầy đủ nội thất cao cấp bàn giao tất cả
- Vị trí đắc địa ngay trung tâm Bình Thạnh.
- Thuận tiện di chuyển các quận trung tâm lân cận như Q1, Q3, Q10, Phú Nhuận v.v …
- Giá thuê: 20 triệu/ tháng
+++ Liên hệ Thảo xem nhà trực tiếp 24/7"	51	3	Sổ đỏ/ Sổ hồng	3	nan	nan	20 triệu/tháng
21/07/2024	Tin Thường	115817	tiến Anh - đi nước ngoài gấp bán nhà ( Nguyễn Trọng Tuyển ) 25m2, 2 Tầng, 2PN chỉ 5 tỷ 5	Phú Nhuận , Hồ Chí Minh	Đường Nguyễn Trọng Tuyển, 1	"Chính Chủ gấp bán nhà ( Trương Quốc Dung ) , hẻm thông , 25m2, 2 Tầng, 2PN chỉ 5 tỷ 5


Mô tả:
👉Đường trước nhà: 4m.
👉Kết cấu: , 2 tầng 1 trệt, 1 lầu, 2 phòng ngủ , 2WC.
👉Công năng: nhà ngay chợ thị nghè , hàng xanh , hẻm lịch sự
👉Ngân hàng hỗ trợ vay 3 tỷ.
💰 5 tỷ 5 ( KHÁCH THIỆN CHÍ THƯƠNG LƯỢNG CHÍNH CHỦ )
Huỳnh Thanh Tiến Anh 0707046323"	25	2	Sổ đỏ/ Sổ hồng	2	nan	nan	5 tỷ 500 triệu
22/07/2024	Tin Thường	115827	Bán nhà 2.6 tỷ Lý Thường Kiệt Q10, NHÀ ĐẸP 3 TẦNG, khu an ninh, yên tĩnh. Nhà đẹp ở ngay	Quận 10 , Hồ Chí Minh	Đường Lý Thường Kiệt, 14	"+ Kết cấu: Nhà 3 tầng, 3WC, có thể ở ngay.

+ Khu an ninh, yên tĩnh, dân trí, hẻm thông tứ tung.

+ Vị trí kế Tô Hiến Thành, 3 tháng 2, trường ĐH Bách Khoa, nhà thi đấu Phú Thọ, bệnh viện 115, chợ Nhật Tảo, tiện ích vây quanh.

+ Giá bán 2.6 tỷ thương lượng, chủ cần bán gấp.

+ Sổ hồng riêng, công chứng nhanh.

+ Liên hệ Mr Thành – sđt/zalo: 0901.493.156"	16	4	Sổ đỏ/ Sổ hồng	3	nan	nan	2 tỷ 600 triệu
